,meanx,meany,stx,sty,s,i,r
0,0.1,0.1,0.0001,0.0001,0.9069832451489057,0.21461077903010667,0.9099999999999999
1,0.1,0.2,0.0001,0.0001,0.9069832451489054,0.515592623775895,0.9099999999999999
2,0.1,0.30000000000000004,0.0001,0.0001,0.9069832451489054,0.6916678276261413,0.9099999999999999
3,0.1,0.4,0.0001,0.0001,0.9069832451489054,0.8165985357128399,0.9099999999999999
4,0.1,0.5,0.0001,0.0001,0.9069832451489056,0.9135037313138608,0.9099999999999999
5,0.1,0.6,0.0001,0.0001,0.906983245148905,0.9926817656342563,0.9099999999999999
6,0.1,0.7000000000000001,0.0001,0.0001,0.9069832451489053,1.0596262611139702,0.9099999999999999
7,0.1,0.8,0.0001,0.0001,0.9069832451489054,1.1176164874456571,0.9099999999999999
8,0.1,0.9,0.0001,0.0001,0.9069832451489053,1.1687676715933644,0.9099999999999999
9,0.2,0.1,0.0001,0.0001,0.9069832451489057,0.03225753661348112,0.9099999999999999
10,0.2,0.2,0.0001,0.0001,0.9069832451489056,0.33323938135926945,0.9099999999999999
11,0.2,0.30000000000000004,0.0001,0.0001,0.9069832451489056,0.5093145852095157,0.9099999999999999
12,0.2,0.4,0.0001,0.0001,0.9069832451489057,0.6342452932962143,0.9099999999999999
13,0.2,0.5,0.0001,0.0001,0.9069832451489056,0.731150488897235,0.9099999999999999
14,0.2,0.6,0.0001,0.0001,0.9069832451489056,0.8103285232176305,0.9099999999999999
15,0.2,0.7000000000000001,0.0001,0.0001,0.9069832451489056,0.8772730186973442,0.9099999999999999
16,0.2,0.8,0.0001,0.0001,0.9069832451489057,0.9352632450290314,0.9099999999999999
17,0.2,0.9,0.0001,0.0001,0.9069832451489056,0.9864144291767385,0.9099999999999999
18,0.30000000000000004,0.1,0.0001,0.0001,0.9069832451489059,-0.03676341501490932,0.9099999999999999
19,0.30000000000000004,0.2,0.0001,0.0001,0.9069832451489059,0.2642184297308789,0.9099999999999999
20,0.30000000000000004,0.30000000000000004,0.0001,0.0001,0.9069832451489059,0.44029363358112505,0.9099999999999999
21,0.30000000000000004,0.4,0.0001,0.0001,0.9069832451489063,0.5652243416678236,0.9099999999999999
22,0.30000000000000004,0.5,0.0001,0.0001,0.9069832451489062,0.6621295372688444,0.9099999999999999
23,0.30000000000000004,0.6,0.0001,0.0001,0.9069832451489063,0.7413075715892397,0.9099999999999999
