,meanx,meany,stx,sty,s,i,r
3401,1,1.1,0.1,0.077426368,0.899463548,0.27178796,0.9
3501,1,1.1,0.1,0.129154967,0.897143974,0.274203318,0.888
3601,1,1.1,0.1,0.215443469,0.892783843,0.276394101,0.85
3701,1,1.1,0.1,0.359381366,0.87845858,0.286900451,0.738
3801,1,1.1,0.1,0.59948425,0.874739923,0.270164035,0.55
3901,1,1.1,0.1,1,0.871098909,0.315473329,0.42
4001,1,1.1,1,0.01,0.79646977,0.486280929,0.856
4101,1,1.1,1,0.016681005,0.796323734,0.486533791,0.856
4201,1,1.1,1,0.027825594,0.796079503,0.486919092,0.856
4301,1,1.1,1,0.046415888,0.795669778,0.48746086,0.854
4401,1,1.1,1,0.077426368,0.794977144,0.488084865,0.85
4501,1,1.1,1,0.129154967,0.793782685,0.488339868,0.844
4601,1,1.1,1,0.215443469,0.795061769,0.479209208,0.82
4701,1,1.1,1,0.359381366,0.790581535,0.470662097,0.742
4801,1,1.1,1,0.59948425,0.777164444,0.471739105,0.586
4901,1,1.1,1,1,0.777730286,0.507758178,0.48
2,1,1.2,0.0001,0.01,0.906612639,0.296690714,0.91
102,1,1.2,0.0001,0.016681005,0.906364075,0.297149431,0.91
202,1,1.2,0.0001,0.027825594,0.90594429,0.297892106,0.904
302,1,1.2,0.0001,0.046415888,0.905229386,0.299068593,0.9
402,1,1.2,0.0001,0.077426368,0.903994278,0.300858121,0.9
502,1,1.2,0.0001,0.129154967,0.901804829,0.303358596,0.89
602,1,1.2,0.0001,0.215443469,0.897725769,0.306088444,0.858
702,1,1.2,0.0001,0.359381366,0.887214587,0.309969536,0.754
802,1,1.2,0.0001,0.59948425,0.878958411,0.29302628,0.54
902,1,1.2,0.0001,1,0.888016988,0.295580374,0.414
1002,1,1.2,0.001,0.01,0.906587164,0.29674003,0.91
1102,1,1.2,0.001,0.016681005,0.90633867,0.297198621,0.91
1202,1,1.2,0.001,0.027825594,0.905919006,0.29794108,0.906
1302,1,1.2,0.001,0.046415888,0.905204313,0.299117186,0.9
1402,1,1.2,0.001,0.077426368,0.903969587,0.30090603,0.9
1502,1,1.2,0.001,0.129154967,0.901780855,0.303405219,0.89
1602,1,1.2,0.001,0.215443469,0.89770323,0.3061325,0.858
1702,1,1.2,0.001,0.359381366,0.88720053,0.309998273,0.754
1802,1,1.2,0.001,0.59948425,0.878951547,0.293041363,0.54
1902,1,1.2,0.001,1,0.888024647,0.295568878,0.414
2002,1,1.2,0.01,0.01,0.906320092,0.297258149,0.91
2102,1,1.2,0.01,0.016681005,0.90607231,0.297715457,0.91
2202,1,1.2,0.01,0.027825594,0.90565387,0.298455705,0.906
2302,1,1.2,0.01,0.046415888,0.904941327,0.299627936,0.9
2402,1,1.2,0.01,0.077426368,0.903710479,0.301409794,0.9
2502,1,1.2,0.01,0.129154967,0.901529038,0.303895875,0.89
2602,1,1.2,0.01,0.215443469,0.897465999,0.306596985,0.858
2702,1,1.2,0.01,0.359381366,0.887048868,0.310307987,0.754
2802,1,1.2,0.01,0.59948425,0.878871195,0.293215646,0.54
2902,1,1.2,0.01,1,0.888088874,0.295478498,0.414
3002,1,1.2,0.1,0.01,0.902257583,0.305241021,0.908
3102,1,1.2,0.1,0.016681005,0.902017996,0.305683086,0.908
3202,1,1.2,0.1,0.027825594,0.901613678,0.306397094,0.904
3302,1,1.2,0.1,0.046415888,0.90092593,0.307523309,0.9
3402,1,1.2,0.1,0.077426368,0.899739863,0.30922222,0.9
3502,1,1.2,0.1,0.129154967,0.897642725,0.311552533,0.89
3602,1,1.2,0.1,0.215443469,0.89374875,0.313942239,0.858
3702,1,1.2,0.1,0.359381366,0.884257545,0.315959071,0.754
3802,1,1.2,0.1,0.59948425,0.876726277,0.297631397,0.546
3902,1,1.2,0.1,1,0.885205465,0.299467738,0.412
4002,1,1.2,1,0.01,0.796487969,0.524036795,0.856
4102,1,1.2,1,0.016681005,0.79635414,0.524271095,0.856
4202,1,1.2,1,0.027825594,0.796130393,0.524631234,0.856
4302,1,1.2,1,0.046415888,0.799455192,0.517450032,0.852
4402,1,1.2,1,0.077426368,0.798784829,0.518153312,0.848
4502,1,1.2,1,0.129154967,0.797635349,0.518670499,0.844
4602,1,1.2,1,0.215443469,0.795570101,0.517609687,0.824
4702,1,1.2,1,0.359381366,0.792208816,0.509007314,0.762
4802,1,1.2,1,0.59948425,0.784572337,0.491831929,0.602
4902,1,1.2,1,1,0.788375898,0.499127227,0.478
3,1,1.3,0.0001,0.01,0.90664111,0.331399353,0.91
103,1,1.3,0.0001,0.016681005,0.906411993,0.331824222,0.91
