5.000000000000000000e+01,1.017031917345829539e+00
1.500000000000000000e+02,1.720995451300361689e-01
2.500000000000000000e+02,1.247965739772169819e-01
3.500000000000000000e+02,4.336290106640897091e-02
4.500000000000000000e+02,2.418801457345493705e-02
5.500000000000000000e+02,1.489690267340140414e-02
6.500000000000000000e+02,8.782904321086592442e-03
7.500000000000000000e+02,4.713108381427993931e-03
8.500000000000000000e+02,2.600779011231089954e-03
9.500000000000000000e+02,3.099333102315856864e-03
1.050000000000000000e+03,1.400563499208679020e-03
1.150000000000000000e+03,5.729577951308232947e-04
1.250000000000000000e+03,2.941183348338226203e-04
1.350000000000000000e+03,8.724048732444633842e-05
