,0,1,2,3,4,5,6
0,2.759746713213465,2.9125354585816847,2.9125354585816847,2.9125354585816847,2.9125354585816847,2.9125354585816847,2.9125354585816847
1,1.8270987466949586,2.4127889372731333,2.6515213519109766,2.7799063393384387,2.902986161996171,2.9581598756013614,2.9804415676342266
2,0.9727550121776644,1.4374874460059988,1.706140989945118,1.8761184691672623,2.044186089072304,2.1543213096918956,2.249177655774665
3,0.2987565646039293,0.7725835666089435,0.9503823744630323,1.1140846016432675,1.264599704967317,1.3910142026231653,1.5224307127761876
4,0.054820035953875065,0.5054053637295965,0.6175211791965539,0.7080626579332766,0.7961283931107921,0.8813647070777849,0.9513928820382188
5,0.01765173005201021,0.26332908766113594,0.36721385960657305,0.4007810839677728,0.43434830832897253,0.46328557070931714,0.4974315403181238
6,0.0022036838274262435,0.11924378043962006,0.2747259171524717,0.3026392456332041,0.317330471149379,0.33128713538974525,0.35136514359518434
7,,0.004880751588151457,0.2217558873747075,0.2535868759930866,0.2667436846220166,0.27841504711542225,0.28690331074699
8,,0.0005617233285596306,0.1677680341298097,0.2121441770860205,0.2284341536142498,0.24116654906160143,0.24753274678527723
9,,,0.10688510915013602,0.18244182423902527,0.20087029133387632,0.20840920969086085,0.21712084868115406
10,,,,0.15718445332028141,0.1737062521745829,0.1841650055777646,0.19310799761816635
11,,,,0.1303686577326656,0.15320393217628536,0.16621311882901418,0.1721641297446242
12,,,,0.09523831794619017,0.1354726875598213,0.15138818186901085,0.15546254841216336
13,,,,,0.12260825245597862,0.13357225964675362,0.14147106052612918
14,,,,,0.10592035867839932,0.12348228343336708,0.13270229392972516
15,,,,,0.08122036128108981,0.11181918259811227,0.1226006464849826
16,,,,,0.04928980358785365,0.10205207866134865,0.11111908754052328
17,,,,,,0.08776258290495943,0.10022214130701067
18,,,,,,0.07252303623052311,0.09256795609020507
19,,,,,,0.05011340259406345,0.08398483920080015
20,,,,,,,0.07499691464720531
21,,,,,,,0.0665489738788902
22,,,,,,,0.04901972247230376
